epoch,step,train_loss
249,999,0.2565212547779083
499,1999,0.25588399171829224
749,2999,0.25596240162849426
999,3999,0.2554338574409485
1249,4999,0.25660547614097595
1499,5999,0.25653567910194397
1749,6999,0.2566589117050171
1999,7999,0.2557681202888489
2249,8999,0.2549682855606079
2499,9999,0.2563610374927521
2749,10999,0.256623238325119
2999,11999,0.25711774826049805
3249,12999,0.2552799582481384
3499,13999,0.25665661692619324
3749,14999,0.25651177763938904
3999,15999,0.25585952401161194
4249,16999,0.25666090846061707
4499,17999,0.25667113065719604
4749,18999,0.256590873003006
4999,19999,0.2563076615333557
5249,20999,0.25700002908706665
5499,21999,0.2559923827648163
5749,22999,0.2557491064071655
5999,23999,0.25647035241127014
6249,24999,0.2555947005748749
6499,25999,0.2578165829181671
6749,26999,0.2564828395843506
6999,27999,0.25528427958488464
7249,28999,0.2554944157600403
7499,29999,0.25651049613952637
7749,30999,0.2560667395591736
7999,31999,0.25571209192276
8249,32999,0.2557520866394043
8499,33999,0.2566821277141571
8749,34999,0.2556864321231842
8999,35999,0.25608453154563904
9249,36999,0.2570713460445404
9499,37999,0.2563287913799286
9749,38999,0.2563512623310089
9999,39999,0.25735223293304443
10249,40999,0.2555256187915802
10499,41999,0.2567442059516907
10749,42999,0.25637322664260864
10999,43999,0.2569776475429535
11249,44999,0.2567579746246338
11499,45999,0.2558943033218384
11749,46999,0.2555972933769226
11999,47999,0.256778746843338
12249,48999,0.25604918599128723
12499,49999,0.25599291920661926
12749,50999,0.2568557858467102
12999,51999,0.25643521547317505
13249,52999,0.255795955657959
13499,53999,0.25583967566490173
13749,54999,0.25512030720710754
13999,55999,0.2562507688999176
14249,56999,0.2552660405635834
14499,57999,0.25703030824661255
14749,58999,0.2551446855068207
14999,59999,0.2566298842430115
15249,60999,0.2563144862651825
15499,61999,0.2561250925064087
15749,62999,0.25673913955688477
15999,63999,0.2558788061141968
16249,64999,0.2560173571109772
16499,65999,0.25589582324028015
16749,66999,0.2566636800765991
16999,67999,0.2569943964481354
17249,68999,0.25593337416648865
17499,69999,0.25551918148994446
17749,70999,0.2556150555610657
17999,71999,0.2564147412776947
18249,72999,0.2567083239555359
18499,73999,0.25564050674438477
18749,74999,0.25559595227241516
18999,75999,0.25670892000198364
19249,76999,0.25562694668769836
19499,77999,0.25621703267097473
19749,78999,0.25603845715522766
19999,79999,0.25674304366111755
20249,80999,0.2568493187427521
20499,81999,0.2555864453315735
20749,82999,0.25675931572914124
20999,83999,0.2554005980491638
21249,84999,0.2564293444156647
21499,85999,0.2572898268699646
21749,86999,0.2562696635723114
